
src vocab: 37000  tgt vocab: 37000
step=22300 lr=0.000296 train_loss=4.4287
step=22400 lr=0.000295 train_loss=4.4491
step=22500 lr=0.000295 train_loss=4.4631
step=22600 lr=0.000294 train_loss=4.4445
step=22700 lr=0.000293 train_loss=4.4377
step=22800 lr=0.000293 train_loss=4.4259
step=22900 lr=0.000292 train_loss=4.4374
step=23000 lr=0.000291 train_loss=4.4416
step=23100 lr=0.000291 train_loss=4.4304
step=23200 lr=0.000290 train_loss=4.4293
step=23300 lr=0.000290 train_loss=4.4437
step=23400 lr=0.000289 train_loss=4.4328
step=23500 lr=0.000288 train_loss=4.4355
step=23600 lr=0.000288 train_loss=4.4290
step=23700 lr=0.000287 train_loss=4.4296
step=23800 lr=0.000286 train_loss=4.4072
step=23900 lr=0.000286 train_loss=4.4034
step=24000 lr=0.000285 train_loss=4.4303
step=24000 val_loss=7.7540
step=24100 lr=0.000285 train_loss=4.4205
step=24200 lr=0.000284 train_loss=4.4193
step=24300 lr=0.000284 train_loss=4.4299
step=24400 lr=0.000283 train_loss=4.4312
step=24500 lr=0.000282 train_loss=4.4184
step=24600 lr=0.000282 train_loss=4.4070
step=24700 lr=0.000281 train_loss=4.4003
step=24800 lr=0.000281 train_loss=4.3991
step=24900 lr=0.000280 train_loss=4.4128
step=25000 lr=0.000280 train_loss=4.3880
step=25100 lr=0.000279 train_loss=4.4246
step=25200 lr=0.000278 train_loss=4.3886
step=25300 lr=0.000278 train_loss=4.4052
step=25400 lr=0.000277 train_loss=4.3819
step=25500 lr=0.000277 train_loss=4.3907
step=25600 lr=0.000276 train_loss=4.4036
step=25700 lr=0.000276 train_loss=4.3931
step=25800 lr=0.000275 train_loss=4.4030
step=25900 lr=0.000275 train_loss=4.3853
step=26000 lr=0.000274 train_loss=4.3703
step=26000 val_loss=7.0545
step=26100 lr=0.000274 train_loss=4.3961
step=26200 lr=0.000273 train_loss=4.3890
step=26300 lr=0.000273 train_loss=4.3932
step=26400 lr=0.000272 train_loss=4.3714
step=26500 lr=0.000271 train_loss=4.3573
step=26600 lr=0.000271 train_loss=4.3569
step=26700 lr=0.000270 train_loss=4.3592
step=26800 lr=0.000270 train_loss=4.3556
step=26900 lr=0.000269 train_loss=4.3430
step=27000 lr=0.000269 train_loss=4.3554
step=27100 lr=0.000268 train_loss=4.3430
step=27200 lr=0.000268 train_loss=4.3537
step=27300 lr=0.000267 train_loss=4.3399
step=27400 lr=0.000267 train_loss=4.3532
step=27500 lr=0.000267 train_loss=4.3440
step=27600 lr=0.000266 train_loss=4.3504
step=27700 lr=0.000266 train_loss=4.3480
step=27800 lr=0.000265 train_loss=4.3490
step=27900 lr=0.000265 train_loss=4.3511
step=28000 lr=0.000264 train_loss=4.3429
step=28000 val_loss=6.8620
step=28100 lr=0.000264 train_loss=4.3240
step=28200 lr=0.000263 train_loss=4.3336
step=28300 lr=0.000263 train_loss=4.3659
step=28400 lr=0.000262 train_loss=4.3344
step=28500 lr=0.000262 train_loss=4.3384
step=28600 lr=0.000261 train_loss=4.3250
step=28700 lr=0.000261 train_loss=4.3310
step=28800 lr=0.000260 train_loss=4.3488
step=28900 lr=0.000260 train_loss=4.3439
step=29000 lr=0.000260 train_loss=4.3383
step=29100 lr=0.000259 train_loss=4.3127
step=29200 lr=0.000259 train_loss=4.3458
step=29300 lr=0.000258 train_loss=4.3156
step=29400 lr=0.000258 train_loss=4.3259
step=29500 lr=0.000257 train_loss=4.3271
step=29600 lr=0.000257 train_loss=4.3183
step=29700 lr=0.000256 train_loss=4.3405
step=29800 lr=0.000256 train_loss=4.3499
step=29900 lr=0.000256 train_loss=4.3429
step=30000 lr=0.000255 train_loss=4.3173
step=30000 val_loss=7.6177
step=30100 lr=0.000255 train_loss=4.2986
step=30200 lr=0.000254 train_loss=4.3292
step=30300 lr=0.000254 train_loss=4.3162
step=30400 lr=0.000253 train_loss=4.3157
step=30500 lr=0.000253 train_loss=4.3168
step=30600 lr=0.000253 train_loss=4.3103
step=30700 lr=0.000252 train_loss=4.3327
step=30800 lr=0.000252 train_loss=4.3308
step=30900 lr=0.000251 train_loss=4.3279
step=31000 lr=0.000251 train_loss=4.2963
step=31100 lr=0.000251 train_loss=4.3328
step=31200 lr=0.000250 train_loss=4.3255
step=31300 lr=0.000250 train_loss=4.3004
